game,quality,count,rate_over_all_tasks
aion2,Good,214,0.3955637707948244
aion2,Fair,82,0.15157116451016636
aion2,Bad,154,0.2846580406654344
bnsneo,Good,1,0.2
bnsneo,Fair,0,0.0
bnsneo,Bad,4,0.8
lineage2m,Good,9,0.34615384615384615
lineage2m,Fair,7,0.2692307692307692
lineage2m,Bad,8,0.3076923076923077
lineageclassic,Good,126,0.34146341463414637
lineageclassic,Fair,46,0.12466124661246612
lineageclassic,Bad,122,0.33062330623306235
lineagem,Good,7,0.28
lineagem,Fair,1,0.04
lineagem,Bad,12,0.48
lineagew,Good,15,0.45454545454545453
lineagew,Fair,1,0.030303030303030304
lineagew,Bad,14,0.42424242424242425
